registro_id,data,ano,mes,dia,segmento,empresa,cidade,numero_clientes,ticket_medio,receita,custo,lucro,indice_satisfacao,taxa_ocupacao,taxa_crescimento,custo_marketing,investimento_publicidade,previsao_vendas,previsao_custos,sensibilidade_negocios,indice_correcao,programacao_linear,regiao,estado,pais,tipo_cliente,canal_venda,categoria_produto,tipo_servico,plano,faixa_etaria,genero,fonte_trafego,dispositivo,sistema_operacional,navegador,quantidade_produtos,custo_por_cliente,receita_por_cliente,lucro_por_cliente,desconto_medio,percentual_desconto,taxa_conversao,vendas_por_vendedor,comissao_vendas,valor_impostos,frete_medio,pedidos_por_cliente,LTV,CAC,MRR,ARR,receita_media_diaria,custo_por_clique,custo_por_mil_impressoes,taxa_de_clique,impressoes,cliques,leads_gerados,custo_por_lead,ROAS,avaliacao_media,numero_avaliacoes,NPS,CSAT,reclamacoes,tempo_medio_resposta,tempo_medio_entrega,taxa_devolucao,nivel_estoque,giro_estoque,custo_estoque,numero_fornecedores,taxa_de_defeito,usuarios_ativos,tempo_medio_sessao,taxa_retencao,churn_rate,funcionalidade_mais_usada,numero_sessoes,RevPAR,taxa_evasao,tempo_medio_atendimento,despesa_administrativa,despesa_com_pessoal,despesa_fixa,despesa_variavel,despesa_tributaria,despesa_financeira
42,2022-01-01,2022,1,1,Varejo,Sales,Cassiano da Praia,44,30.1,1324.4,993.0,331.4,9.0,,21.28,181.05,10209.5,1463.95,1001.87,24.26,1.065,540.72,Mato Grosso,AP,Brasil,Pessoa Jurídica,Representante,Alimentos,,,36-45,Feminino,Direto,Mobile,macOS,Outro,50,22.57,30.1,7.53,65.85,68.63,12.39,2,30.38,280.81,2.3,2.25,120.84,26.96,0.0,0.0,44.15,2.54,0.99,0.0,758,0,170,1.07,0.13,4.2,27,-30,5,21,21.09,5.97,2.77,161,0.93,1916.96,17,1.0,0,26.27,75.28,3.55,,18,,,,5012.89,0.0,12102.66,9699.73,88.52,37.67
866,2022-01-01,2022,1,1,TI,Silveira S.A.,Nascimento,1,42.9,42.9,26.23,16.67,9.3,,5.08,5.99,17601.61,46.82,27.46,43.83,1.026,1719.85,Rio Grande do Sul,GO,Brasil,B2C,Representante,,Outros,Premium,26-35,Outro,Busca orgânica,Tablet,macOS,Safari,0,26.23,42.9,16.67,22.45,34.35,25.44,0,0.0,7.12,0.0,9.23,12055.8,170.98,37.45,449.4,1.43,8.06,6.02,15.04,3255,489,25,0.24,0.0,2.4,232,-76,5,17,10.0,0.61,11.76,0,0.0,0.0,24,4.63,18,73.66,62.87,21.16,FuncA,171,,,,9453.33,1020.39,15378.63,38452.31,6.31,630.99
1136,2022-01-01,2022,1,1,TI,Casa Grande,Monteiro dos Dourados,1,29.15,29.15,25.94,3.21,8.2,,67.76,5.35,39494.0,31.1,27.59,23.76,0.93,3195.94,Distrito Federal,ES,Brasil,Pessoa Jurídica,Aplicativo,,Suporte,Teste,36-45,Feminino,Email,Tablet,macOS,Outro,0,25.94,29.15,3.21,8.31,22.18,14.03,0,0.0,6.17,0.0,12.63,7737.22,221.5,34.0,408.0,0.97,11.54,6.51,16.51,15797,2608,28,0.19,0.0,2.1,81,-19,3,36,27.08,6.67,32.95,0,0.0,0.0,54,3.88,135,14.54,54.78,19.36,FuncB,159,,,,14452.52,3580.73,22649.49,27415.47,3.71,528.37
1270,2022-01-01,2022,1,1,Varejo,Azevedo,Cavalcante de Barbosa,1,28.21,28.21,18.06,10.15,7.7,,-62.31,2.05,32879.86,31.94,19.77,54.43,0.948,597.51,Minas Gerais,MS,Brasil,B2C,Aplicativo,Eletrônicos,,,55+,Outro,Direto,Mobile,macOS,Edge,78,18.06,28.21,10.15,102.96,78.49,16.89,8,1.02,3.59,0.0,13.84,15392.3,266.65,0.0,0.0,0.94,8.9,16.41,10.1,12729,1285,207,0.01,0.0,3.5,134,-59,5,7,25.84,3.19,53.68,159,2.61,1012.1,51,3.25,0,45.1,6.48,17.71,,175,,,,4524.13,12206.45,25717.47,23851.72,3.21,186.85
2674,2022-01-01,2022,1,1,TI,Leão,Nunes,1,34.63,34.63,24.7,9.93,8.9,,31.4,6.27,21749.27,39.63,25.73,84.52,1.063,2253.5,São Paulo,BA,Brasil,Pessoa Física,Online,,Outros,Premium,26-35,Outro,Busca orgânica,Tablet,Linux,Safari,0,24.7,34.63,9.93,42.68,55.21,5.91,0,0.0,4.26,0.0,8.76,14.36,102.93,35.48,425.76,1.15,31.4,39.79,17.97,40957,7359,454,0.01,0.0,1.1,103,99,3,64,99.19,13.63,58.15,0,0.0,0.0,12,7.81,498,439.99,90.87,46.79,Outra,558,,,,21830.92,190858.78,10449.02,18971.49,2.66,593.37
2762,2022-01-01,2022,1,1,TI,Monteiro S/A,Fernandes das Pedras,1,37.42,37.42,22.47,14.95,7.4,,70.89,4.82,32114.94,40.58,23.73,99.66,1.019,585.57,Roraima,PI,Brasil,B2C,Telefone,,Treinamento,Premium,36-45,Feminino,Email,Mobile,Windows,Outro,0,22.47,37.42,14.95,91.61,71.0,4.4,0,0.0,4.26,0.0,5.94,137.17,88.73,43.19,518.28,1.25,22.95,27.05,14.71,44239,6507,530,0.01,0.0,4.3,11,-96,5,40,87.16,5.67,51.8,0,0.0,0.0,14,3.2,98,457.41,76.74,61.68,FuncC,589,,,,15672.81,176059.12,17206.58,14500.61,5.4,1551.34
2797,2022-01-01,2022,1,1,Varejo,Porto da Conceição - EI,Barbosa,1,33.32,33.32,24.52,8.8,10.0,,69.28,5.05,26191.43,35.03,26.3,56.3,0.968,345.17,Amapá,MA,Brasil,B2C,Loja física,Outros,,,55+,Masculino,Busca orgânica,Desktop,Windows,Edge,47,24.52,33.32,8.8,69.8,67.69,9.42,0,0.0,6.9,0.0,7.89,180.65,123.53,0.0,0.0,1.11,20.88,11.44,12.55,43764,5492,452,0.01,0.0,3.7,29,-85,4,39,92.69,13.44,56.11,139,0.71,1469.86,4,1.31,0,463.94,98.0,57.23,,607,,,,13353.14,178659.73,17372.0,17905.08,3.28,1144.22
52,2022-01-02,2022,1,2,Varejo,Alves,Rios,45,30.38,1367.1,873.11,493.99,6.1,,14.08,236.26,12097.11,1570.59,914.4,10.67,1.008,288.98,Piauí,TO,Brasil,B2B,Online,Roupas,,,55+,Feminino,Busca orgânica,Mobile,Android,Safari,42,19.4,30.38,10.98,71.96,70.31,13.41,6,61.82,168.71,2.87,1.02,59.69,27.8,0.0,0.0,45.57,3.33,1.06,2.34,1148,26,176,1.34,0.11,4.7,29,-73,4,18,20.11,4.62,1.75,37,1.99,278.51,18,1.88,0,2.77,76.41,3.72,,32,,,,3536.79,502.82,12709.85,10705.65,151.6,152.91
691,2022-01-02,2022,1,2,Varejo,Souza - EI,Lima,1,40.03,40.03,33.75,6.28,6.4,,0.33,7.71,7683.34,43.87,35.96,40.91,1.042,851.01,Mato Grosso,TO,Brasil,Pessoa Física,Online,Roupas,,,55+,Feminino,Referência,Mobile,iOS,Firefox,28,33.75,40.03,6.28,68.36,63.07,9.52,9,0.49,9.68,1.13,3.73,189.62,69.28,0.0,0.0,1.33,1.29,29.63,16.5,14454,2384,106,0.07,0.01,1.4,114,-5,3,16,2.51,1.92,18.22,77,1.04,1495.84,18,2.31,0,51.86,71.36,29.97,,102,,,,5804.84,9224.55,16945.51,38840.29,3.01,633.22
1650,2022-01-02,2022,1,2,Varejo,Silveira Ltda.,Pinto de Fernandes,1,30.15,30.15,26.59,3.56,8.6,,91.65,3.16,28427.26,31.97,28.08,7.47,1.04,1200.13,Minas Gerais,CE,Brasil,B2B,Representante,Eletrônicos,,,18-25,Masculino,Email,Desktop,Linux,Edge,75,26.59,30.15,3.56,176.5,85.41,0.28,14,1.24,6.84,2.12,4.91,11445.42,72.01,0.0,0.0,1.0,31.76,50.91,14.49,7691,1114,176,0.02,0.0,4.5,57,-85,1,44,29.31,5.48,65.67,104,2.26,1715.77,30,3.67,0,145.85,55.92,1.66,,193,,,,4455.73,44729.21,38798.71,14826.33,2.44,1997.79
